                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6998,                 1.0949,                 1.3957,                 0.8893,                0.85437,                0.88985,                0.49896,                 1.5388,                0.90847,                 1.4089,               0.008317,               0.008317,               0.008317
                     36,                 1.7012,                 1.0883,                 1.4026,                0.87281,                0.81778,                0.86219,                0.47675,                 1.5251,                0.94879,                 1.3816,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.7101,                  1.083,                 1.4046,                0.85337,                0.79758,                0.86197,                0.47892,                 1.5065,                0.93233,                 1.3834,               0.008218,               0.008218,               0.008218
                     38,                  1.707,                   1.07,                 1.3935,                0.85398,                0.82152,                0.87222,                0.47757,                 1.5342,                0.96954,                    1.4,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.693,                 1.0761,                 1.3928,                0.87361,                0.81383,                0.86686,                0.46453,                 1.5087,                 0.9675,                 1.3619,               0.008119,               0.008119,               0.008119
                     40,                 1.6522,                  1.034,                 1.3657,                0.90179,                0.80924,                0.87385,                 0.5002,                 1.5049,                0.92942,                 1.3576,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.6525,                 1.0232,                 1.3658,                0.86595,                0.84378,                0.88956,                0.49066,                 1.4976,                0.91734,                 1.3489,                0.00802,                0.00802,                0.00802
                     42,                 1.6526,                  1.024,                 1.3639,                0.88319,                0.87172,                 0.9093,                0.51011,                 1.4888,                0.85857,                 1.3588,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.6435,                 1.0049,                 1.3675,                0.87734,                  0.833,                0.88475,                0.48552,                 1.5444,                0.90029,                  1.386,               0.007921,               0.007921,               0.007921
                     44,                 1.6445,                 1.0203,                 1.3697,                0.87364,                0.84995,                0.88972,                0.50939,                 1.5059,                0.90041,                 1.3638,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6631,                 1.0261,                 1.3694,                0.91351,                0.81711,                0.89491,                0.50067,                 1.5016,                0.86525,                 1.3736,               0.007822,               0.007822,               0.007822
                     46,                 1.6248,                0.99635,                 1.3456,                0.88362,                 0.8405,                0.88806,                0.50129,                 1.4947,                 0.8658,                 1.3714,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6316,                0.99489,                 1.3614,                0.88169,                0.85162,                0.89457,                0.50961,                 1.4997,                 0.8461,                 1.3661,               0.007723,               0.007723,               0.007723
                     48,                 1.6249,                 0.9924,                 1.3453,                0.87216,                0.83521,                0.89431,                0.50058,                 1.4844,                0.82876,                  1.384,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.6081,                0.97244,                 1.3464,                0.89852,                0.84398,                0.89152,                0.50974,                 1.5207,                0.85259,                 1.3909,               0.007624,               0.007624,               0.007624
                     50,                 1.6111,                0.96994,                 1.3428,                0.90607,                0.87469,                0.92083,                0.52807,                 1.4698,                0.77088,                 1.3674,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.6114,                0.94707,                 1.3485,                0.86778,                0.86474,                0.89416,                0.50199,                 1.5058,                0.84916,                 1.3783,               0.007525,               0.007525,               0.007525
                     52,                 1.5986,                0.94541,                   1.35,                 0.8841,                0.85285,                0.89385,                0.49555,                 1.5218,                0.87211,                 1.3712,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5957,                0.95153,                 1.3304,                0.90294,                0.86297,                0.91284,                0.51008,                 1.5153,                 0.7941,                 1.3868,               0.007426,               0.007426,               0.007426
                     54,                 1.6052,                 0.9477,                 1.3412,                0.86391,                0.88339,                0.90513,                 0.5188,                 1.4807,                0.81349,                 1.3806,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5905,                0.94735,                 1.3315,                0.88678,                0.86801,                0.90865,                0.50757,                 1.5091,                0.80631,                 1.3866,               0.007327,               0.007327,               0.007327
                     56,                 1.5607,                0.93262,                 1.3186,                0.89133,                0.85663,                0.90457,                0.51372,                 1.5024,                0.81772,                 1.3835,              0.0072775,              0.0072775,              0.0072775
